K,D,condition,mean_delta,sem_delta,p_positive,n
0,1,Strong_delta_HM_channel,0.002012334846956478,0.0017875498286390639,0.5,32
0,1,Strong_delta_HM_naive,0.0017390930065919116,0.0018755240287663018,0.5,32
0,2,Strong_delta_HM_channel,0.0047386826083403825,0.001535766535445911,0.6875,32
0,2,Strong_delta_HM_naive,-0.00034631142168513665,0.002357513684026989,0.4375,32
0,4,Strong_delta_HM_channel,0.003785516092052476,0.0016916722705251205,0.46875,32
0,4,Strong_delta_HM_naive,0.002915672438680024,0.0018762014312761202,0.625,32
0,8,Strong_delta_HM_channel,0.0063973616698770955,0.0017763451004150232,0.71875,32
0,8,Strong_delta_HM_naive,0.0037110689355772525,0.002656441524936757,0.5,32
2,1,Strong_delta_HM_channel,-0.0017882742707633695,0.004854947403675268,0.59375,32
2,1,Strong_delta_HM_naive,-0.007928781794372813,0.004657646687520686,0.40625,32
2,2,Strong_delta_HM_channel,0.011842005233724778,0.003447749361156356,0.71875,32
2,2,Strong_delta_HM_naive,0.0024460979266259786,0.005645348346860797,0.46875,32
2,4,Strong_delta_HM_channel,0.009498744436234507,0.005806230848395177,0.53125,32
2,4,Strong_delta_HM_naive,0.003918924586196165,0.00475009831778743,0.53125,32
2,8,Strong_delta_HM_channel,0.014086937355503745,0.0035756094583858293,0.6875,32
2,8,Strong_delta_HM_naive,0.01268667422619428,0.004647556023082937,0.71875,32
4,1,Strong_delta_HM_channel,-0.002196467630356632,0.007066053806066175,0.4375,32
4,1,Strong_delta_HM_naive,-0.005233718680477235,0.007720741929154875,0.4375,32
4,2,Strong_delta_HM_channel,0.00819047628495934,0.006778849267861501,0.4375,32
4,2,Strong_delta_HM_naive,0.020025404512825463,0.005758497628687639,0.65625,32
4,4,Strong_delta_HM_channel,0.017956058436509395,0.008893308755960576,0.5625,32
4,4,Strong_delta_HM_naive,0.012237261534255188,0.009603505024045292,0.65625,32
4,8,Strong_delta_HM_channel,0.00861400752389024,0.010159846271957113,0.46875,32
4,8,Strong_delta_HM_naive,-0.029294811918645847,0.014259187878472487,0.21875,32
8,1,Strong_delta_HM_channel,-0.02321465414607057,0.008584699394202845,0.25,32
8,1,Strong_delta_HM_naive,-0.012223181295188762,0.008748500549299775,0.4375,32
8,2,Strong_delta_HM_channel,0.01778094886451313,0.008259354245328058,0.65625,32
8,2,Strong_delta_HM_naive,0.01174388306034347,0.008894197291215216,0.4375,32
8,4,Strong_delta_HM_channel,0.018096867864880087,0.01240084679854327,0.65625,32
8,4,Strong_delta_HM_naive,0.010536121074457776,0.013535073851417726,0.5625,32
8,8,Strong_delta_HM_channel,-0.06691808169656296,0.01629480252168025,0.28125,32
8,8,Strong_delta_HM_naive,-0.10315250545238618,0.013974089548493917,0.0625,32
12,1,Strong_delta_HM_channel,-0.005670267736061944,0.009230489730957683,0.4375,32
12,1,Strong_delta_HM_naive,-0.002647322506316545,0.009054032981426305,0.53125,32
12,2,Strong_delta_HM_channel,0.018947849045202643,0.01016712731907793,0.59375,32
12,2,Strong_delta_HM_naive,0.0034232253740177944,0.01292774986314064,0.5625,32
12,4,Strong_delta_HM_channel,-0.010752763965831792,0.011823295187432657,0.40625,32
12,4,Strong_delta_HM_naive,-0.05497056585680682,0.015068907470260991,0.28125,32
12,8,Strong_delta_HM_channel,-0.08487631886463537,0.01719440420255277,0.21875,32
12,8,Strong_delta_HM_naive,-0.1010588524871408,0.013039419733585174,0.125,32
