K,D,condition,mean_final,sem_final,mean_improvement,mean_bad_acceptance,mean_accepted_distance,n
0,1,H,0.6664580845329793,0.010735345525637902,0.1514790493287825,0.37273993960053564,1.0776907322835056,32
0,1,HM_channel,0.6690766737737599,0.010820565299835279,0.15409763856956307,0.39174352830766185,1.0180183371184093,32
0,1,HM_naive,0.6688034319333953,0.010530021430129488,0.1538243967291985,0.42696401865888195,1.0091191775582935,32
0,1,M,0.6364808571137945,0.011041226987295387,0.12150182190959777,0.45568824404761904,1.0,32
0,2,H,0.6664631244134795,0.010403519893173759,0.1514840892092827,0.3583617285730856,1.0846468920796795,32
0,2,HM_channel,0.6712419382784807,0.010703373202785698,0.1562629030742839,0.3762461277515283,1.2921499107218124,32
0,2,HM_naive,0.6661569442484552,0.010771270360146142,0.15117790904425837,0.4374437814915091,1.2990042835895708,32
0,2,M,0.617524845050013,0.010661607780904869,0.1025458098458162,0.4693555900621118,1.6884826974267968,32
0,4,H,0.6647158029818645,0.010347306677507927,0.14973676777766773,0.37847578160925455,1.080324099356059,32
0,4,HM_channel,0.6691439272862132,0.010575928334403416,0.15416489208201634,0.3689894938455794,1.5872359577252668,32
0,4,HM_naive,0.6682740836328407,0.010715893757251828,0.15329504842864386,0.42609736641195023,1.4372456821751172,32
0,4,M,0.6049113970584881,0.011783975110747082,0.08993236185429125,0.49384661311333045,3.123431699142423,32
0,8,H,0.6633768679613564,0.010781240993506538,0.1483978327571596,0.3730592311292057,1.0850054155820503,32
0,8,HM_channel,0.6697742296312335,0.010758057464751832,0.15479519442703668,0.3319153287613566,1.6131982675031349,32
0,8,HM_naive,0.6670879368969337,0.01054429486022132,0.15210890169273686,0.4070640397338673,1.5372472771849337,32
0,8,M,0.5803033281867437,0.010552180311956295,0.06532429298254684,0.49842099855826194,6.139443038697377,32
2,1,H,0.706514297013934,0.008288754478825822,0.19201657747174758,0.33282549525172395,1.0826793592454873,32
2,1,HM_channel,0.7135779506982008,0.007085660914558165,0.1990802311560144,0.3558334045835773,1.0235673436041084,32
2,1,HM_naive,0.7074374431745913,0.006681938224760433,0.19293972363240497,0.43500900685178423,1.0234379987078501,32
2,1,M,0.6832846366616372,0.007479117132658014,0.1687869171194507,0.4713190535908319,1.0,32
2,2,H,0.7066311926097051,0.007845816071144802,0.19213347306751866,0.3389361088013014,1.0851196202995528,32
2,2,HM_channel,0.7207037004267444,0.00662763932405069,0.20620598088455794,0.33404141610112514,1.3557452081033763,32
2,2,HM_naive,0.7113077931196455,0.006899663555025853,0.19681007357745914,0.42503218899662143,1.3026837354827645,32
2,2,M,0.644707074466292,0.006681816410834219,0.13020935492410562,0.48160223153977905,1.6835352212693588,32
2,4,H,0.7123180380007951,0.007038015797054433,0.19782031845860867,0.3561615399033583,1.1105488877412042,32
2,4,HM_channel,0.7218167824370296,0.0060464922166696125,0.20731906289484317,0.30489211054468407,1.7641173930236431,32
2,4,HM_naive,0.7162369625869912,0.006755811687641778,0.20173924304480484,0.4026182721271734,1.5991967875029784,32
2,4,M,0.6111850833431857,0.010385787979153122,0.09668736380099928,0.4909115827181937,3.193441028990227,32
2,8,H,0.7083857317071927,0.007048957048959088,0.19388801216500626,0.3626101314457683,1.0883783605946369,32
2,8,HM_channel,0.7224726690626965,0.0061810041803030125,0.20797494952051,0.24944720164703718,2.211917044030531,32
2,8,HM_naive,0.721072405933387,0.005276338480178602,0.20657468639120052,0.37932279824856724,2.0079410564139595,32
2,8,M,0.5656699808859511,0.013534577505562785,0.05117226134376467,0.49684895833333337,6.504875637755102,32
4,1,H,0.7246652732682589,0.006653155272975192,0.23676254423082052,0.3203718813136349,1.0748900943405253,32
4,1,HM_channel,0.7276840302042155,0.005797996866696444,0.239781301166777,0.3397880255216513,1.008778678007253,32
4,1,HM_naive,0.7246467791540948,0.0056382494685976526,0.23674405011665642,0.4177437262969914,1.0194431761650646,32
4,1,M,0.6652991233711189,0.0085519972060047,0.17739639433368048,0.4874237333190938,1.0,32
4,2,H,0.7209000465209373,0.007053293741011597,0.2329973174834989,0.30861485155052804,1.1067753983756201,32
4,2,HM_channel,0.732288555403186,0.00647160306005803,0.24438582636574768,0.2692334815436112,1.346466042020415,32
4,2,HM_naive,0.7441234836310522,0.0048891833851308075,0.2562207545936138,0.38438970304871306,1.3095501686596052,32
4,2,M,0.6417349202142009,0.009824933750672282,0.1538321911767625,0.4725224752671231,1.6896407452819031,32
4,4,H,0.717558854772715,0.006818677475253582,0.22965612573527663,0.33198440375834287,1.1113995199213915,32
4,4,HM_channel,0.7396933886643497,0.006318936177091579,0.25179065962691133,0.26634741355136093,1.9975698757565534,32
4,4,HM_naive,0.7339745917620956,0.007214906695667877,0.24607186272465714,0.3881337465462791,1.8164829396887123,32
4,4,M,0.6030639790630355,0.014319477125643566,0.11516125002559717,0.48509054873683977,3.308807993334938,32
4,8,H,0.714836574561499,0.006206985801607727,0.2269338455240605,0.3283399247166662,1.0674773385154577,32
4,8,HM_channel,0.7235899416612676,0.00782416835819062,0.2356872126238292,0.2869854782898261,3.0876043845283374,32
4,8,HM_naive,0.6856811222187315,0.012856006737205137,0.19777839318129312,0.42930182048245463,3.432107848174873,32
4,8,M,0.5587269192507598,0.013698101965963124,0.07082419021332141,0.4899199300730931,6.71634940611883,32
8,1,H,0.7126248403261316,0.00601511379410929,0.22122130607892437,0.34596040717001436,1.1275554757849648,32
8,1,HM_channel,0.6983021128467327,0.005941863021988061,0.2068985785995255,0.3490206482006985,1.0227028001614398,32
8,1,HM_naive,0.7092935856976146,0.006568443645575496,0.21789005145040732,0.4086830996162669,1.0180063439849625,32
8,1,M,0.6400310607453173,0.011529907051157385,0.14862752649811015,0.48713403794779636,1.0,32
8,2,H,0.6960099780333636,0.005756418400141719,0.20460644378615642,0.33049938387556377,1.1026078192759758,32
8,2,HM_channel,0.7188715254225273,0.00613796732850375,0.22746799117532007,0.34908447890259037,1.4858154041735698,32
8,2,HM_naive,0.7128344596183577,0.007886035759329332,0.22143092537115042,0.43406543431629346,1.4325992791989435,32
8,2,M,0.6220371821222221,0.010531638014928103,0.13063364787501494,0.4751150668863683,1.7823609470971062,32
8,4,H,0.6959844401918213,0.008192322285369313,0.20458090594461403,0.33022449659688435,1.174421052696014,32
8,4,HM_channel,0.7140813080567013,0.00852660354441747,0.22267777380949413,0.33021538138896617,2.292694830862359,32
8,4,HM_naive,0.706520561266279,0.01032814256157564,0.21511702701907182,0.42469094950069564,2.3915472112258747,32
8,4,M,0.5503488863891273,0.012257549160932198,0.058945352141920114,0.49464338860544216,3.4364120960884352,32
8,8,H,0.692037479101922,0.005896132029898464,0.2006339448547148,0.36686976956544487,1.1636409335579712,32
8,8,HM_channel,0.6252361531073517,0.015445205965903173,0.13383261886014453,0.4737459505940483,5.621837909142429,32
8,8,HM_naive,0.5890017293515285,0.012758394009139066,0.09759819510432131,0.4970830177407122,5.75731826409278,32
8,8,M,0.5374905504068772,0.011811176116249295,0.04608701615967001,0.49783163265306124,6.778711734693878,32
12,1,H,0.6773621465384811,0.0063835915599896225,0.19736207548647766,0.34429699049632334,1.1914130083786687,32
12,1,HM_channel,0.6873797461763809,0.007173516571653129,0.2073796751243773,0.31344869038125617,1.0476900110123795,32
12,1,HM_naive,0.6904026914061262,0.006180603371433103,0.2104026203541227,0.4033573974800706,1.0656929055449023,32
12,1,M,0.6064471127776265,0.013061813521112214,0.12644704172562304,0.4745583793253977,1.0,32
12,2,H,0.6778279722406498,0.00632779369972768,0.19782790118864635,0.3615073753860519,1.1714699261114703,32
12,2,HM_channel,0.7009251026128932,0.007327670739080435,0.2209250315608897,0.3530667865577405,1.5622862243750402,32
12,2,HM_naive,0.6854004789417084,0.010253506617624687,0.20540040788970484,0.4469576832403508,1.5561891678201827,32
12,2,M,0.574046330028994,0.012076171106668433,0.0940462589769904,0.5082032557282125,1.837688825227375,32
12,4,H,0.6774568119220504,0.00552930227480917,0.19745674087004694,0.3900420271863686,1.2099920281436025,32
12,4,HM_channel,0.6675176265569241,0.008375917549669256,0.18751755550492058,0.41243411907346855,2.9028416208823433,32
12,4,HM_naive,0.6232998246659491,0.014695111002346018,0.14329975361394556,0.4849826510184329,3.0301381356498855,32
12,4,M,0.5203101861545062,0.012469467198145418,0.04031011510250264,0.49272852891156466,3.5295812074829933,32
12,8,H,0.6689221428380462,0.0070072469481286285,0.18892207178604262,0.34553681652777046,1.2257131232254588,32
12,8,HM_channel,0.5851207009659937,0.014168054380186562,0.10512062991399015,0.48834263999056055,6.277798366363235,32
12,8,HM_naive,0.5689381673434882,0.011582922258837723,0.08893809629148473,0.49137403706243943,6.249493397075352,32
12,8,M,0.5131130594665272,0.015217289694858504,0.03311298841452368,0.504375,6.803125,32
